Application Name,Okta Internal Name,Application Type,Username Format,Logo,Groups,Application Settings,Features,Access Policy Name
Okta Admin Console,saasure,OPENID_CONNECT,${source.login},https://ok8static.oktacdn.com/assets/img/logos/okta_admin_app.da3325676d57eaf566cb786dd0c7a819.png,"[{'name': 'Okta-Admins-Super Admins', 'type': 'OKTA_GROUP'}, {'name': 'CFA Helpdesk Users', 'type': 'OKTA_GROUP'}]","{'app': {}, 'oauthClient': {}}",[],Okta Admin Console
Okta Dashboard,okta_enduser,OPENID_CONNECT,${source.login},https://ok8static.oktacdn.com/assets/img/logos/okta-logo-end-user-dashboard.fc6d8fdbcb8cb4c933d009e71456cec6.svg,[],"{'app': {}, 'oauthClient': {}}",[],CFA Default policy
Okta Browser Plugin,okta_browser_plugin,OPENID_CONNECT,${source.login},https://ok8static.oktacdn.com/assets/img/logos/okta-logo-browser-plugin.1db9f55776407dfc548a5d6985ff280a.svg,[],"{'app': {}, 'oauthClient': {}}",[],CFA Default policy
Okta Workflows OAuth,flow,OPENID_CONNECT,${source.login},https://ok8static.oktacdn.com/assets/img/logos/okta-workflows.27df74eb53570679e5cc3a4b0f160602.png,[],"{'app': {'redirectURI': 'https://oauth.workflows.okta.com/oauth/okta/cb', 'serviceDomain': 'https://oauth.workflows.okta.com'}, 'oauthClient': {}}",[],CFA Default policy
Okta Workflows,okta_flow_sso,OPENID_CONNECT,${source.login},https://ok8static.oktacdn.com/assets/img/logos/okta-workflows.27df74eb53570679e5cc3a4b0f160602.png,[],"{'app': {'redirectURI': 'https://dev-cfa-apps.workflows.okta.com/oidc/0oa4te6k6nBt6XeBv3l7/cb', 'initiateLoginURI': 'https://dev-cfa-apps.workflows.okta.com/oidc/0oa4te6k6nBt6XeBv3l7/login'}, 'oauthClient': {}}","['PUSH_NEW_USERS', 'PUSH_USER_DEACTIVATION', 'SCIM_PROVISIONING', 'GROUP_PUSH', 'REACTIVATE_USERS', 'PUSH_PROFILE_UPDATES']",CFA Default policy
cfa-test.vic.gov.au,active_directory,,"substringBefore(user.login, ""@"") + ""@"" + target_app.namingContext",https://ok8static.oktacdn.com/assets/img/logos/active-directory.9d71e6886192896cd905f4987688d95f.png,[],"{'jitGroupsAcrossDomains': False, 'password': None, 'scanRate': None, 'searchOrgUnit': None, 'filterGroupsByOU': False, 'namingContext': 'cfa-test.vic.gov.au', 'login': None, 'activationEmail': None}","['IMPORT_PROFILE_UPDATES', 'SUPPRESS_ACTIVATION_EMAIL', 'PROFILE_MASTERING', 'OUTBOUND_DEL_AUTH', 'IMPORT_USER_SCHEMA', 'FEDERATED_PROFILE', 'IMPORT_NEW_USERS']",CFA Default policy
Microsoft Office 365,office365,SAML_1_1,${source.login},https://ok8static.oktacdn.com/fs/bcg/4/gfsfhsw65quDe86h13l6,"[{'name': 'CFA-Volunteers', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Staff', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Unknown', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Generic Accounts', 'type': 'OKTA_GROUP'}]","{'tenantType': None, 'wsFedConfigureType': 'MANUAL', 'occSettings': None, 'windowsTransportEnabled': False, 'domain': 'test.cfa.vic.gov.au', 'msftTenant': 'cfatest365', 'domains': [], 'requireAdminConsent': True}",[],Microsoft Office 365
CFAElasticSIEM,oidc_client,OPENID_CONNECT,${source.login},https://ok8static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,[],"{'app': {}, 'oauthClient': {'client_uri': None, 'logo_uri': None, 'redirect_uris': [], 'response_types': ['token'], 'grant_types': ['client_credentials'], 'application_type': 'service', 'consent_method': 'REQUIRED', 'issuer_mode': 'DYNAMIC', 'idp_initiated_login': {'mode': 'DISABLED', 'default_scope': []}, 'wildcard_redirect': 'DISABLED', 'dpop_bound_access_tokens': True}}",[],CFA Default policy
CFA Members Online,bookmark,BOOKMARK,${source.login},https://ok8static.oktacdn.com/fs/bco/4/fs04yehlc1QTUSGIa3l7,"[{'name': 'CFA-Staff', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Volunteers', 'type': 'OKTA_GROUP'}, {'name': 'CFA-Unknown', 'type': 'OKTA_GROUP'}]",https://www.members.cfa.vic.gov.au,[],CFA Bookmark Apps Policy
MFA FAQs,bookmark,BOOKMARK,${source.login},https://ok8static.oktacdn.com/assets/img/logos/bookmark-app.b81c03e2607468e5b5f9c9351c99313e.png,"[{'name': 'Everyone', 'type': 'BUILT_IN'}, {'name': 'CFA-Unknown', 'type': 'OKTA_GROUP'}]",https://www.members.cfa.vic.gov.au/portfolios/information-communication-and-technology/cybersecurity/cybersecurity-at-cfa/multifactor-authentication/multifactor-authentication-support?AllowAnon=Y,[],CFA Default policy
