policy_id,policy_name,rule_id,rule_name,status,priority,conditions_people,conditions_network,conditions_authcontext,conditions_risk,conditions_riskScore,conditions_identityprovider,actions
rst4sna9mi65R8p3v3l7,Okta Admin Console,rul4sna9mlelt7nkp3l7,Admin App Policy,ACTIVE,1,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT0S', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT0S'}, 'possession': {'required': False, 'excludedAuthenticationMethods': [{'key': 'phone_number', 'method': 'sms'}], 'userPresence': 'REQUIRED'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9mi65R8p3v3l7,Okta Admin Console,rul4sna9mjQo3YRH53l7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT12H', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT12H'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9mvMvCeOvq3l7,Okta Agent Registration,rul4sna9mwm8Tpz0E3l7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT12H'}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul6748fyfckaA9zt3l7,Okta verify desktop pilot,ACTIVE,0,"{'users': {'exclude': []}, 'groups': {'include': ['00g6747780lyjIEfa3l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT1H', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT1H'}, 'possession': {'required': True, 'userPresence': 'OPTIONAL'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul4yglm0xBkHKcKK3l7,MFA Exemption,INACTIVE,1,"{'users': {'exclude': []}, 'groups': {'include': ['00g4swosu9IKXPUTs3l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT0S', 'constraints': [{'knowledge': {'required': True, 'types': ['password']}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul66idbhcc7AOcON3l7,CFA External Vendor Policy,ACTIVE,2,"{'users': {'exclude': []}, 'groups': {'include': ['00g66i6vmxlZGfyjs3l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT30M', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT43800H'}, 'possession': {'required': False}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul66idfg8MvuQze43l7,CFA Generic Account Policy,ACTIVE,3,"{'users': {'exclude': []}, 'groups': {'include': ['00g66i6xwpcsn8vq93l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': [{'knowledge': {'required': True, 'types': ['password']}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul4v1auoqIcPPydU3l7,CFA Volunteer Policy,ACTIVE,4,"{'users': {'exclude': []}, 'groups': {'include': ['00g4tejgs1OntTaTe3l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT4H', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT43800H'}, 'possession': {'required': True, 'userPresence': 'OPTIONAL'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul4v1awxypDvxN8f3l7,CFA Staff Policy,ACTIVE,5,"{'users': {'exclude': []}, 'groups': {'include': ['00g4teit4bSDhU0Qe3l7', '00g4zlcr6kzLraNnF3l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': [{'knowledge': {'required': True, 'types': ['password']}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul62pths4734p7KJ3l7,Okta Admins,ACTIVE,6,"{'users': {'exclude': []}, 'groups': {'include': ['00g4sn95b9yqYhfAl3l7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT0S', 'constraints': [{'possession': {'required': False, 'excludedAuthenticationMethods': [{'key': 'okta_email', 'method': 'email'}, {'key': 'phone_number', 'method': 'sms'}, {'key': 'phone_number', 'method': 'voice'}]}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4sna9nwf7EHSyp3l7,CFA Default policy,rul4sna9nxRKnAEos3l7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'DENY', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT12H'}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst4vqmfqtRMuaPv73l7,Microsoft Office 365,rul4zlfi5qPcS1P8E3l7,Azure AD Join devices,ACTIVE,0,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT0S', 'constraints': [{'knowledge': {'required': True, 'types': ['password']}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
