policy_id,policy_name,rule_id,rule_name,status,priority,conditions_people,conditions_network,conditions_authcontext,conditions_risk,conditions_riskScore,conditions_identityprovider,actions
00p58bv2qoQuhOGUw3l7,Allow Access outside Australia,0pr58bvzsfaSvZFma3l7,Allow Access outside Australia,ACTIVE,1,{'users': {'exclude': []}},"{'connection': 'ZONE', 'exclude': ['nzo58bqfqoaIL32Hh3l7']}",{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 15, 'maxSessionLifetimeMinutes': 120}}}"
00p58bv2qoQuhOGUw3l7,Allow Access outside Australia,0pr62pnnolD2SxAEr3l7,High risk rule,ACTIVE,2,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'HIGH'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 120}}}"
00p58bv2qoQuhOGUw3l7,Allow Access outside Australia,0pr62po34004E0utP3l7,New behaviour rule,ACTIVE,3,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},"{'behaviors': ['bhv56rm911psXYRwt3l7', 'bhv56rm916ysHKkTN3l7']}",{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 240, 'maxSessionLifetimeMinutes': 240}}}"
00p58bv2qoQuhOGUw3l7,Allow Access outside Australia,0pr62pol25KyugNXx3l7,Default rule,ACTIVE,4,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 480, 'maxSessionLifetimeMinutes': 480}}}"
00p66iauc8JfZrULb3l7,CFA External Vendor Policy,0pr66iaugcme93LO43l7,Deny outside Australia,ACTIVE,1,{'users': {'exclude': []}},"{'connection': 'ZONE', 'exclude': ['nzo58bqfqoaIL32Hh3l7']}",{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'DENY', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 1440}}}"
00p66iauc8JfZrULb3l7,CFA External Vendor Policy,0pr66iagpzNTpRPAb3l7,Default rule,ACTIVE,2,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 240, 'maxSessionLifetimeMinutes': 240}}}"
00p66ibf0mOuLb3aV3l7,CFA Generic Account Policy,0pr66ibflr7bES1Cq3l7,Deny outside Australia,ACTIVE,1,{'users': {'exclude': []}},"{'connection': 'ZONE', 'exclude': ['nzo58bqfqoaIL32Hh3l7']}",{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'DENY', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 1440}}}"
00p66ibf0mOuLb3aV3l7,CFA Generic Account Policy,0pr66ib4ojzfox9SG3l7,Default rule,ACTIVE,2,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 120}}}"
00p4v1absntH6ns5v3l7,CFA Volunteer Policy,0pr5aye9ijiXCp7BL3l7,Deny outside Australia,ACTIVE,1,{'users': {'exclude': []}},"{'connection': 'ZONE', 'exclude': ['nzo58bqfqoaIL32Hh3l7']}",{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'DENY', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 120, 'maxSessionLifetimeMinutes': 0}}}"
00p4v1absntH6ns5v3l7,CFA Volunteer Policy,0pr4v1aufbQYpgpFi3l7,Default rule,ACTIVE,2,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{'authType': 'ANY'},{'behaviors': []},{'level': 'ANY'},{'provider': 'ANY'},"{'signon': {'access': 'ALLOW', 'requireFactor': False, 'primaryFactor': 'PASSWORD_IDP_ANY_FACTOR', 'rememberDeviceByDefault': False, 'session': {'usePersistentCookie': False, 'maxSessionIdleMinutes': 480, 'maxSessionLifetimeMinutes': 480}}}"
