Rule ID,Rule Name,Status,Conditions,Actions,Created At,Last Updated At
0pr6gbs2098Bymy3j3l7,Assign Digital Permits Role - PermitsAdmin,ACTIVE,"isMemberOfAnyGroup(""secUSER.DigitalPermits.CFA.Admins"")",{'assignUserToGroups': {'groupIds': ['00g6gbqq833P7TQHX3l7']}},2025-06-17T00:38:17.000Z,2025-06-17T00:38:20.000Z
0pr6gbs0m0qn93csh3l7,Assign Digital Permits Role - PermitsAssessor,ACTIVE,"isMemberOfAnyGroup(""secUSER.DigitalPermits.CFA.Assessors"")",{'assignUserToGroups': {'groupIds': ['00g6gbr95d2PjlCi63l7']}},2025-06-17T00:36:56.000Z,2025-06-17T00:38:22.000Z
0pr6gbqpg8CEYDnpq3l7,Assign Digital Permits Role - PermitsClerical,ACTIVE,"isMemberOfAnyGroup(""secUSER.DigitalPermits.CFA.ClericalAdmins"")",{'assignUserToGroups': {'groupIds': ['00g6gbqja82Sjli0L3l7']}},2025-06-17T00:36:25.000Z,2025-06-17T00:38:23.000Z
0pr6gbs0uj8W6jAG13l7,Assign Digital Permits Role - PermitsGranting,ACTIVE,"isMemberOfAnyGroup(""secUSER.DigitalPermits.CFA.GrantingOfficers"")",{'assignUserToGroups': {'groupIds': ['00g6gbr96ti8W5sfh3l7']}},2025-06-17T00:37:49.000Z,2025-06-17T00:38:25.000Z
0pr6gbrurhTeWlqKN3l7,Assign Digital Permits Role - PermitsInspecting,ACTIVE,"isMemberOfAnyGroup(""secUSER.DigitalPermits.CFA.InspectingOfficers"")",{'assignUserToGroups': {'groupIds': ['00g6gbr57kSafADLP3l7']}},2025-06-17T00:37:24.000Z,2025-06-17T00:38:27.000Z
0pr6gbr9d9WWQPtQp3l7,Assign Digital Permits Role - PermitsUser,ACTIVE,"isMemberOfAnyGroup(""secUSER.DigitalPermits.CFA.Users"")",{'assignUserToGroups': {'groupIds': ['00g6gbqja082RIwa73l7']}},2025-06-17T00:35:59.000Z,2025-06-17T00:38:29.000Z
0pr66i6wqhRZPfu2d3l7,CFA External Vendors,ACTIVE,"user.userType==""External Vendor"" OR String.stringContains(user.email,""@deloitte.com.au"") OR String.stringContains(user.email,""@fujitsu.com"")",{'assignUserToGroups': {'groupIds': ['00g66i6vmxlZGfyjs3l7']}},2025-04-23T11:48:01.000Z,2025-09-01T06:29:29.000Z
0pr66i72od1ul2RKk3l7,CFA Generic Accounts,ACTIVE,"user.userType==""Generic""",{'assignUserToGroups': {'groupIds': ['00g66i6xwpcsn8vq93l7']}},2025-04-23T11:48:38.000Z,2025-04-23T11:48:41.000Z
0pr4v1awjf01PJiPM3l7,CFA Staff,ACTIVE,"user.userType == ""Staff""",{'assignUserToGroups': {'groupIds': ['00g4teit4bSDhU0Qe3l7']}},2024-09-15T22:32:51.000Z,2024-09-19T05:27:55.000Z
0pr4zlc264PJvanAn3l7,CFA Unknown UserType,ACTIVE,"String.stringContains(user.login,""cfa.vic.gov.au"") && (user.userType == """" || user.userType == null)",{'assignUserToGroups': {'groupIds': ['00g4zlcr6kzLraNnF3l7']}},2024-10-08T02:09:13.000Z,2024-10-08T02:09:18.000Z
0pr4v1bc9uQ1eGkh13l7,CFA Volunteers,ACTIVE,"user.userType == ""Volunteer""",{'assignUserToGroups': {'groupIds': ['00g4tejgs1OntTaTe3l7']}},2024-09-15T22:33:14.000Z,2024-09-19T05:27:57.000Z
0pr4vqbldbvFmdhWL3l7,CFA Volunteers without Email,ACTIVE,"user.userType == ""Volunteer"" && user.adEmail == """"",{'assignUserToGroups': {'groupIds': ['00g4vqaax2SbWwAxz3l7']}},2024-09-19T05:27:07.000Z,2024-09-20T02:54:29.000Z
