Application Name,Okta Internal Name,Application Type,Username Format,Logo,Groups,Application Settings,Features,Access Policy Name
Okta Admin Console,saasure,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/okta_admin_app.da3325676d57eaf566cb786dd0c7a819.png,"[{'name': 'Ground Floor 1 Admin', 'type': 'OKTA_GROUP'}]","{'app': {}, 'oauthClient': {}}",[],Okta Admin Console
Okta Dashboard,okta_enduser,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/okta-logo-end-user-dashboard.fc6d8fdbcb8cb4c933d009e71456cec6.svg,[],"{'app': {}, 'oauthClient': {}}",[],Default Policy
Okta Browser Plugin,okta_browser_plugin,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/okta-logo-browser-plugin.1db9f55776407dfc548a5d6985ff280a.svg,[],"{'app': {}, 'oauthClient': {}}",[],Okta Browser Plugin
BambooHR,bamboohr,BROWSER_PLUGIN,${source.login},https://op3static.oktacdn.com/fs/bcg/4/gfsac17q3olYSzmXv1d6,[],"{'samlNameId': 'email', 'parameterIdForGroup': '4', 'subDomain': 'squarepegcap'}","['IMPORT_PROFILE_UPDATES', 'PROFILE_MASTERING', 'IMPORT_USER_SCHEMA', 'IMPORT_NEW_USERS']",Default Policy
Okta Workflows OAuth,flow,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/okta-workflows.27df74eb53570679e5cc3a4b0f160602.png,[],"{'app': {'redirectURI': 'https://oauth.workflows.oktapreview.com/oauth/okta/cb', 'serviceDomain': 'https://oauth.workflows.oktapreview.com'}, 'oauthClient': {}}",[],Default Policy
HESTA Global Application 1,oidc_client,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,"[{'name': 'Everyone', 'type': 'BUILT_IN'}]","{'app': {}, 'oauthClient': {'client_uri': None, 'logo_uri': None, 'redirect_uris': ['http://localhost:3000/login/callback'], 'post_logout_redirect_uris': ['http://localhost:3000/'], 'response_types': ['code', 'id_token', 'token'], 'grant_types': ['refresh_token', 'implicit', 'authorization_code'], 'initiate_login_uri': '', 'application_type': 'browser', 'consent_method': 'REQUIRED', 'issuer_mode': 'DYNAMIC', 'refresh_token': {'rotation_type': 'ROTATE', 'leeway': 30}, 'idp_initiated_login': {'mode': 'DISABLED', 'default_scope': []}, 'wildcard_redirect': 'DISABLED', 'dpop_bound_access_tokens': False}}",[],Default Policy
Microsoft Office 365 - rihaan.live,office365,SAML_1_1,"String.substringBefore(user.login, ""@"") + ""@rihaan.live""",https://op3static.oktacdn.com/fs/bcg/4/gfsceweidir0dU05k1d6,"[{'name': 'Office 365 - rihaan.live', 'type': 'OKTA_GROUP'}]","{'tenantType': None, 'wsFedConfigureType': 'AUTO', 'occSettings': None, 'windowsTransportEnabled': False, 'domain': 'rihaan.live', 'msftTenant': 'rihaan1', 'domains': [], 'requireAdminConsent': True}",[],Microsoft Office 365 - rihaan.live
haridemo-org2org provisioning,oidc_client,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,[],"{'app': {}, 'oauthClient': {'client_uri': None, 'logo_uri': None, 'redirect_uris': [], 'response_types': ['token'], 'grant_types': ['client_credentials'], 'application_type': 'service', 'consent_method': 'REQUIRED', 'issuer_mode': 'DYNAMIC', 'idp_initiated_login': {'mode': 'DISABLED', 'default_scope': []}, 'wildcard_redirect': 'DISABLED', 'dpop_bound_access_tokens': False}}",[],Default Policy
Okta Admin API App,oidc_client,OPENID_CONNECT,${source.login},https://op3static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,[],"{'app': {}, 'oauthClient': {'client_uri': None, 'logo_uri': None, 'redirect_uris': [], 'response_types': ['token'], 'grant_types': ['client_credentials'], 'application_type': 'service', 'consent_method': 'REQUIRED', 'issuer_mode': 'DYNAMIC', 'idp_initiated_login': {'mode': 'DISABLED', 'default_scope': []}, 'wildcard_redirect': 'DISABLED', 'dpop_bound_access_tokens': False}}",[],Default Policy
Test SWA Application,lyraratna_testswaapplication_1,AUTO_LOGIN,${source.email},https://op3static.oktacdn.com/assets/img/logos/default.6770228fb0dab49a1695ef440a5279bb.png,"[{'name': 'JIRA Application Users', 'type': 'OKTA_GROUP'}, {'name': 'Haridemo Okta Users', 'type': 'OKTA_GROUP'}]",{},[],Default Policy
