policy_id,policy_name,rule_id,rule_name,status,priority,conditions_people,conditions_network,conditions_authcontext,conditions_risk,conditions_riskScore,conditions_identityprovider,actions
rst3skwfl4QVnK2P01d7,Okta Admin Console,rul3ux2hcpEE8QHxV1d7,Exclude MFA for IDP users,ACTIVE,0,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': []}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfl4QVnK2P01d7,Okta Admin Console,rul3skwfl7cUf2LHT1d7,Admin App Policy,ACTIVE,1,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT0S', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT43800H'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfl4QVnK2P01d7,Okta Admin Console,rul3skwfl51jqNoC91d7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT43800H'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwflb5nNUapx1d7,Okta Dashboard,rul3xy56r4MNctLxb1d7,Enforce MFA,ACTIVE,0,{'users': {'exclude': []}},{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': [{'knowledge': {'required': True, 'types': ['password'], 'reauthenticateIn': 'PT43800H'}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwflb5nNUapx1d7,Okta Dashboard,rul3skwflcCCE0mDl1d7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': [{'knowledge': {'required': True, 'types': ['password']}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfleXhpKDqH1d7,Okta Browser Plugin,rul3skwflfe81fT061d7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H'}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfmeSJU5TYo1d7,Default Policy,ruld0kgtd8OWWtsKh1d7,Exclude Concentrix users from MFA,ACTIVE,0,"{'users': {'exclude': []}, 'groups': {'include': ['00gcv8rf72LDpNaPd1d7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': [{'knowledge': {'required': True, 'types': ['password']}}]}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfmeSJU5TYo1d7,Default Policy,rul3skwfmfO3QkJuF1d7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H', 'constraints': []}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfmy7VKkaI91d7,Any two factors,rulchhbd9cEL1ziKW1d7,One Factor for Federated Grow Employees,ACTIVE,0,"{'users': {'exclude': []}, 'groups': {'include': ['00gchgndu1S1t6Q9M1d7', '00gchijiepL2lAC6o1d7']}}",{'connection': 'ANYWHERE'},{},{},{'level': 'ANY'},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '1FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT2H', 'constraints': []}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
rst3skwfmy7VKkaI91d7,Any two factors,rul3skwfmzRirwq941d7,Catch-all Rule,ACTIVE,99,{},{},{},{},{},{},"{'appSignOn': {'access': 'ALLOW', 'verificationMethod': {'factorMode': '2FA', 'type': 'ASSURANCE', 'reauthenticateIn': 'PT43800H'}, 'keepMeSignedIn': {'postAuth': 'NOT_ALLOWED'}}}"
